cctdif2d
volumeGrid 762
 (2.9000 1.4750 -0.20000)  (2.9500 1.4750 -0.20000)  (2.9500 1.4250 -0.20000)  (2.9000 1.4250 -0.20000) 
 (2.9000 1.4750 -0.15000)  (2.9500 1.4750 -0.15000)  (2.9500 1.4250 -0.15000)  (2.9000 1.4250 -0.15000) 
 (2.9000 1.4750 -0.10000)  (2.9500 1.4750 -0.10000)  (2.9500 1.4250 -0.10000)  (2.9000 1.4250 -0.10000) 
 (2.9000 1.4750 -0.050000)  (2.9500 1.4750 -0.050000)  (2.9500 1.4250 -0.050000)  (2.9000 1.4250 -0.050000) 
 (2.9000 1.4750 0.0000)  (2.9500 1.4750 0.0000)  (2.9500 1.4250 0.0000)  (2.9000 1.4250 0.0000) 
 (2.9000 1.4750 0.050000)  (2.9500 1.4750 0.050000)  (2.9500 1.4250 0.050000)  (2.9000 1.4250 0.050000) 
 (2.9000 1.4750 0.10000)  (2.9500 1.4750 0.10000)  (2.9500 1.4250 0.10000)  (2.9000 1.4250 0.10000) 
 (2.9000 1.4750 0.15000)  (2.9500 1.4750 0.15000)  (2.9500 1.4250 0.15000)  (2.9000 1.4250 0.15000) 
 (2.9000 1.4750 0.20000)  (2.9500 1.4750 0.20000)  (2.9500 1.4250 0.20000)  (2.9000 1.4250 0.20000) 
 (2.9000 1.4250 -0.25000)  (2.9500 1.4250 -0.25000)  (2.9500 1.3750 -0.25000)  (2.9000 1.3750 -0.25000) 
 (2.9000 1.4250 -0.20000)  (2.9500 1.4250 -0.20000)  (2.9500 1.3750 -0.20000)  (2.9000 1.3750 -0.20000) 
 (2.9000 1.4250 -0.15000)  (2.9500 1.4250 -0.15000)  (2.9500 1.3750 -0.15000)  (2.9000 1.3750 -0.15000) 
 (2.9000 1.4250 -0.10000)  (2.9500 1.4250 -0.10000)  (2.9500 1.3750 -0.10000)  (2.9000 1.3750 -0.10000) 
 (2.9000 1.4250 -0.050000)  (2.9500 1.4250 -0.050000)  (2.9500 1.3750 -0.050000)  (2.9000 1.3750 -0.050000) 
 (2.9000 1.4250 0.0000)  (2.9500 1.4250 0.0000)  (2.9500 1.3750 0.0000)  (2.9000 1.3750 0.0000) 
 (2.9000 1.4250 0.050000)  (2.9500 1.4250 0.050000)  (2.9500 1.3750 0.050000)  (2.9000 1.3750 0.050000) 
 (2.9000 1.4250 0.10000)  (2.9500 1.4250 0.10000)  (2.9500 1.3750 0.10000)  (2.9000 1.3750 0.10000) 
 (2.9000 1.4250 0.15000)  (2.9500 1.4250 0.15000)  (2.9500 1.3750 0.15000)  (2.9000 1.3750 0.15000) 
 (2.9000 1.4250 0.20000)  (2.9500 1.4250 0.20000)  (2.9500 1.3750 0.20000)  (2.9000 1.3750 0.20000) 
 (2.9000 1.4250 0.25000)  (2.9500 1.4250 0.25000)  (2.9500 1.3750 0.25000)  (2.9000 1.3750 0.25000) 
 (2.9000 1.3750 -0.35000)  (2.9500 1.3750 -0.35000)  (2.9500 1.3250 -0.35000)  (2.9000 1.3250 -0.35000) 
 (2.9000 1.3750 -0.30000)  (2.9500 1.3750 -0.30000)  (2.9500 1.3250 -0.30000)  (2.9000 1.3250 -0.30000) 
 (2.9000 1.3750 -0.25000)  (2.9500 1.3750 -0.25000)  (2.9500 1.3250 -0.25000)  (2.9000 1.3250 -0.25000) 
