cctdif2d
volumeGrid 386
 (5.1841 0.58885 0.053548)  (5.3204 0.57854 0.051636)  (5.3204 0.57854 -0.051636)  (5.1841 0.58885 -0.053548) 
 (5.3204 0.57854 0.051636)  (5.4567 0.56822 0.049723)  (5.4567 0.56822 -0.049723)  (5.3204 0.57854 -0.051636) 
 (5.4567 0.56822 0.049723)  (5.5930 0.55790 0.047811)  (5.5930 0.55790 -0.047811)  (5.4567 0.56822 -0.049723) 
 (5.5930 0.55790 0.047811)  (5.7292 0.54759 0.045898)  (5.7292 0.54759 -0.045898)  (5.5930 0.55790 -0.047811) 
 (5.7292 0.54759 0.045898)  (5.8655 0.53727 0.043986)  (5.8655 0.53727 -0.043986)  (5.7292 0.54759 -0.045898) 
 (5.8655 0.53727 0.043986)  (6.0018 0.52696 0.042074)  (6.0018 0.52696 -0.042074)  (5.8655 0.53727 -0.043986) 
 (2.9766 1.2270 0.045044)  (3.1041 1.2491 0.090148)  (3.1350 1.2552 0.0098524)  (3.0112 1.2339 -0.045044) 
 (3.0309 1.0305 0.0075766)  (3.1525 1.0739 0.056753)  (3.0623 1.2844 0.17720)  (2.9296 1.2666 0.14271) 
 (2.9297 1.2810 0.13513)  (3.0624 1.2972 0.17044)  (3.1550 1.3157 -0.070443)  (3.0337 1.3018 -0.13513) 
 (3.0394 1.2885 -0.14271)  (3.1601 1.3039 -0.077196)  (3.1577 1.0749 0.043247)  (3.0367 1.0316 -0.0075766) 
 (3.0520 0.94015 0.0000)  (3.1721 0.98966 0.050000)  (3.1058 1.0337 0.19362)  (2.9788 0.98874 0.15858) 
 (2.9788 0.98874 0.15858)  (3.1058 1.0337 0.19362)  (3.0485 1.1672 0.27003)  (2.9156 1.1362 0.24295) 
 (2.9156 1.1362 0.24295)  (3.0485 1.1672 0.27003)  (3.0270 1.3278 0.24349)  (2.8918 1.3135 0.21365) 
 (2.8918 1.3135 0.21365)  (3.0270 1.3278 0.24349)  (3.0514 1.4403 0.12642)  (2.9187 1.4377 0.084377) 
 (2.9187 1.4377 0.084377)  (3.0514 1.4403 0.12642)  (3.1102 1.4520 -0.026417)  (2.9836 1.4507 -0.084377) 
 (2.9836 1.4507 -0.084377)  (3.1102 1.4520 -0.026417)  (3.1759 1.3576 -0.14349)  (3.0562 1.3464 -0.21365) 
 (3.0562 1.3464 -0.21365)  (3.1759 1.3576 -0.14349)  (3.2178 1.2011 -0.17003)  (3.1025 1.1736 -0.24295) 
 (3.1025 1.1736 -0.24295)  (3.2178 1.2011 -0.17003)  (3.2163 1.0558 -0.093617)  (3.1008 1.0131 -0.15858) 
 (3.1008 1.0131 -0.15858)  (3.2163 1.0558 -0.093617)  (3.1721 0.98966 0.050000)  (3.0520 0.94015 -2.8103e-16) 
 (3.1041 1.2491 0.090148)  (3.2317 1.2711 0.13525)  (3.2588 1.2766 0.064748)  (3.1350 1.2552 0.0098524) 
 (3.1525 1.0739 0.056753)  (3.2742 1.1173 0.10593)  (3.1949 1.3021 0.21168)  (3.0623 1.2844 0.17720) 
 (3.0624 1.2972 0.17044)  (3.1950 1.3134 0.20575)  (3.2764 1.3297 -0.0057545)  (3.1550 1.3157 -0.070443) 
 (3.1601 1.3039 -0.077196)  (3.2808 1.3193 -0.011684)  (3.2787 1.1182 0.094071)  (3.1577 1.0749 0.043247) 
 (3.1721 0.98966 0.050000)  (3.2922 1.0392 0.10000)  (3.2328 1.0786 0.22866)  (3.1058 1.0337 0.19362) 
 (3.1058 1.0337 0.19362)  (3.2328 1.0786 0.22866)  (3.1815 1.1982 0.29711)  (3.0485 1.1672 0.27003) 
 (3.0485 1.1672 0.27003)  (3.1815 1.1982 0.29711)  (3.1622 1.3421 0.27334)  (3.0270 1.3278 0.24349) 
